timestamp,src_ip,dst_ip,src_port,dst_port,protocol,packet_size,flow_duration,packet_rate,byte_rate
1718000000,192.168.1.2,192.168.1.1,54321,80,TCP,512,5.2,12.5,6400
1718000005,192.168.1.3,8.8.8.8,45678,53,UDP,80,0.1,10.0,800
1718000010,192.168.1.4,192.168.1.1,33221,443,TCP,1024,8.1,20.0,20480
1718000015,192.168.1.5,192.168.1.10,11223,22,TCP,256,15.0,5.0,1280
1718000020,192.168.1.2,10.0.0.1,54322,8080,TCP,640,3.5,18.0,11520
1718000025,192.168.1.6,192.168.1.1,44100,80,TCP,480,6.0,14.0,6720
1718000030,192.168.1.7,8.8.4.4,33344,53,UDP,72,0.05,20.0,1440
1718000035,192.168.1.8,192.168.1.1,55001,443,TCP,900,10.2,22.0,19800
1718000040,192.168.1.9,192.168.1.2,22111,80,TCP,350,4.8,9.0,3150
1718000045,192.168.1.10,192.168.1.1,60001,22,TCP,200,20.0,3.0,600
1718000050,192.168.1.2,192.168.1.1,54323,80,TCP,530,5.5,11.0,5830
1718000055,192.168.1.3,10.0.0.5,45679,443,TCP,1100,7.3,25.0,27500
1718000060,192.168.1.4,192.168.1.20,33222,3306,TCP,300,2.1,8.0,2400
1718000065,192.168.1.11,192.168.1.1,12345,80,TCP,600,6.5,15.0,9000
1718000070,192.168.1.12,8.8.8.8,44321,53,UDP,80,0.08,12.5,1000
1718000075,192.168.1.5,192.168.1.1,11224,443,TCP,950,9.0,18.0,17100
1718000080,192.168.1.13,192.168.1.1,55002,80,TCP,420,4.2,10.0,4200
1718000085,192.168.1.2,10.0.0.2,54324,8080,TCP,700,5.0,16.0,11200
1718000090,192.168.1.14,192.168.1.1,33445,443,TCP,880,11.0,20.0,17600
1718000095,192.168.1.6,8.8.8.8,44101,53,UDP,68,0.06,11.0,748
1718000100,192.168.1.1,10.0.0.10,1025,65000,TCP,64,0.5,5000,320000
1718000105,192.168.1.1,10.0.0.11,1026,65001,TCP,64,0.5,5200,332800
1718000110,192.168.1.1,10.0.0.12,1027,65002,TCP,64,0.5,4800,307200
1718000115,192.168.1.15,192.168.1.1,33446,80,TCP,490,5.8,13.0,6370
1718000120,192.168.1.16,10.0.0.1,55555,443,TCP,1100,9.5,22.0,24200
1718000125,192.168.1.17,192.168.1.1,44322,80,TCP,560,6.2,14.5,8120
1718000130,192.168.1.2,192.168.1.1,54325,80,TCP,500,5.0,12.0,6000
1718000135,10.0.0.99,192.168.1.1,9999,80,TCP,1490,0.08,99990,1490000
1718000140,192.168.1.18,8.8.8.8,45000,53,UDP,75,0.07,10.7,802
1718000145,192.168.1.19,192.168.1.10,22112,22,TCP,230,18.0,4.0,920
1718000150,192.168.1.20,192.168.1.1,60002,443,TCP,1000,12.0,21.0,21000
1718000155,192.168.1.3,10.0.0.3,45680,8080,TCP,750,7.0,19.0,14250
1718000160,192.168.1.4,192.168.1.1,33223,80,TCP,400,4.5,10.5,4200
1718000165,192.168.1.21,192.168.1.1,11225,443,TCP,980,10.5,23.0,22540
1718000170,192.168.1.22,8.8.8.8,44323,53,UDP,72,0.05,14.0,1008
1718000175,192.168.1.5,192.168.1.20,11226,3306,TCP,280,1.9,7.5,2100
1718000180,192.168.1.23,192.168.1.1,55003,80,TCP,440,5.3,11.5,5060
1718000185,10.0.0.88,203.0.113.5,55000,443,TCP,1490,3600,0.014,74500
1718000190,192.168.1.24,10.0.0.1,54326,8080,TCP,680,6.1,17.0,11560
1718000195,192.168.1.25,192.168.1.1,33447,443,TCP,860,8.8,19.5,16770
1718000200,192.168.1.26,8.8.4.4,44102,53,UDP,70,0.06,11.7,819
1718000205,192.168.1.27,192.168.1.1,55004,80,TCP,520,5.7,13.5,7020
1718000210,192.168.1.2,192.168.1.1,54327,443,TCP,1050,10.0,24.0,25200
1718000215,192.168.1.28,192.168.1.10,22113,22,TCP,210,16.0,3.5,735
1718000220,192.168.1.29,192.168.1.1,33448,80,TCP,470,5.1,12.3,5781
1718000225,192.168.1.6,10.0.0.5,44103,8080,TCP,720,7.5,18.5,13320
1718000230,192.168.1.30,192.168.1.1,55005,443,TCP,920,9.8,21.5,19780
1718000235,192.168.1.31,8.8.8.8,45001,53,UDP,78,0.07,11.4,889
1718000240,192.168.1.32,192.168.1.1,60003,80,TCP,385,4.3,9.8,3773
1718000245,192.168.1.7,192.168.1.1,33345,443,TCP,1000,11.2,22.5,22500
